ItemID,Matcode,MaterialDescription,MRP,CaseCount,EAN,SubCategory,Brand,Category,BrandImgURL,ProductImgURL,ProductDiscountPercentage,CategoryImageURL,SubCategoryImageURL,VAT,SupplierBusinessName,LeadTimeForDelivery,10 lacs price,>10 lacs price
82163365,82232552,AMBIPUR CARVENTCLIP 2MLX6X4 NZ SPRG IN,175,24,4.90E+12,Air Care,Ambipur,Household,/appcontent/images/brand/brand-ambipur.jpg,/appcontent/images/brand/brand-ambipur.jpg,23,/appcontent/images/category/households.png,/appcontent/images/category/Households/fragrances.png,14.5,Prestige Pursuits,3-4 days,143.5,133
82163364,82232492,AMBIPUR CARVENTCLIP 2MLX6X4 SKY BREZE IN,175,24,4.90E+12,Air Care,Ambipur,Household,/appcontent/images/brand/brand-ambipur.jpg,/appcontent/images/brand/brand-ambipur.jpg,23,/appcontent/images/category/households.png,/appcontent/images/category/Households/fragrances.png,14.5,Prestige Pursuits,3-4 days,143.5,133
82137307,82220131,AMBIP AEROSOLS B.OCEAN 300MLX24 INR140,140,24,4.90E+12,Air Care,Ambipur,Household,/appcontent/images/brand/brand-ambipur.jpg,/appcontent/images/brand/brand-ambipur.jpg,23,/appcontent/images/category/households.png,/appcontent/images/category/Households/fragrances.png,14.5,Prestige Pursuits,3-4 days,114.8,106.4
82137309,82220129,AMBIP AEROSOLS LAV BREZ 300MLX24 INR140,140,24,4.90E+12,Air Care,Ambipur,Household,/appcontent/images/brand/brand-ambipur.jpg,/appcontent/images/brand/brand-ambipur.jpg,23,/appcontent/images/category/households.png,/appcontent/images/category/Households/fragrances.png,14.5,Prestige Pursuits,3-4 days,114.8,106.4
82137308,82220132,AMBIP AEROSOLS PINKFLOWR 300MLX24 INR140,140,24,4.90E+12,Air Care,Ambipur,Household,/appcontent/images/brand/brand-ambipur.jpg,/appcontent/images/brand/brand-ambipur.jpg,23,/appcontent/images/category/households.png,/appcontent/images/category/Households/fragrances.png,14.5,Prestige Pursuits,3-4 days,114.8,106.4
82208778,82230127,ARIEL LAU PWD 3KGX8 MB D+ PC,499,8,4.90E+12,Laundry,Ariel,Household,/appcontent/images/brand/brand-ariel.jpg,/appcontent/images/brand/brand-ariel.jpg,11,/appcontent/images/category/households.png,/appcontent/images/category/Households/cleaning.png,14.5,Prestige Pursuits,3-4 days,,
82222963,82233079,ARIEL LAU PWD 3KGX8 MB D+ PRO PC,499,8,4.90E+12,Laundry,Ariel,Household,/appcontent/images/brand/brand-ariel.jpg,/appcontent/images/brand/brand-ariel.jpg,11,/appcontent/images/category/households.png,/appcontent/images/category/Households/cleaning.png,14.5,Prestige Pursuits,3-4 days,,
0,82236452,ARIEL LAU PWD 2KG X 6 MATIC D+,465,6,4.90E+12,Laundry,Ariel,Household,/appcontent/images/brand/brand-ariel.jpg,/appcontent/images/brand/brand-ariel.jpg,11,/appcontent/images/category/households.png,/appcontent/images/category/Households/cleaning.png,14.5,Prestige Pursuits,3-4 days,,
82209596,82230257,ARIEL LAU PWD 2KG X 6 MATIC D+,453,6,4.90E+12,Laundry,Ariel,Household,/appcontent/images/brand/brand-ariel.jpg,/appcontent/images/brand/brand-ariel.jpg,11,/appcontent/images/category/households.png,/appcontent/images/category/Households/cleaning.png,14.5,Prestige Pursuits,3-4 days,,
82233077,82233398,ARIEL LAU PWD 2KG X 6 MATIC D+ PRO PC,453,6,4.90E+12,Laundry,Ariel,Household,/appcontent/images/brand/brand-ariel.jpg,/appcontent/images/brand/brand-ariel.jpg,11,/appcontent/images/category/households.png,/appcontent/images/category/Households/cleaning.png,14.5,Prestige Pursuits,3-4 days,,
82208781,82232521,ARIEL LAU PWD 2KGX12 2IN1 D+ PC,399,12,4.90E+12,Laundry,Ariel,Household,/appcontent/images/brand/brand-ariel.jpg,/appcontent/images/brand/brand-ariel.jpg,11,/appcontent/images/category/households.png,/appcontent/images/category/Households/cleaning.png,14.5,Prestige Pursuits,3-4 days,,
82237469,82237537,ARIEL LAU PWD 2KGX12 MB D+ BKT FREE PC,370,12,4.90E+12,Laundry,Ariel,Household,/appcontent/images/brand/brand-ariel.jpg,/appcontent/images/brand/brand-ariel.jpg,11,/appcontent/images/category/households.png,/appcontent/images/category/Households/cleaning.png,14.5,Prestige Pursuits,3-4 days,,
82208777,82236409,ARIEL LAU PWD 2KGX12 MB D+ PC,370,12,4.90E+12,Laundry,Ariel,Household,/appcontent/images/brand/brand-ariel.jpg,/appcontent/images/brand/brand-ariel.jpg,11,/appcontent/images/category/households.png,/appcontent/images/category/Households/cleaning.png,14.5,Prestige Pursuits,3-4 days,,
82228404,82228364,ARIEL LAU PWD 2000GX12 OB BKT FREE PC,359,12,4.90E+12,Laundry,Ariel,Household,/appcontent/images/brand/brand-ariel.jpg,/appcontent/images/brand/brand-ariel.jpg,11,/appcontent/images/category/households.png,/appcontent/images/category/Households/cleaning.png,14.5,Prestige Pursuits,3-4 days,,
82208785,82230119,ARIEL LAU PWD 2KGX12 C&S D+ PC,359,12,4.90E+12,Laundry,Ariel,Household,/appcontent/images/brand/brand-ariel.jpg,/appcontent/images/brand/brand-ariel.jpg,11,/appcontent/images/category/households.png,/appcontent/images/category/Households/cleaning.png,14.5,Prestige Pursuits,3-4 days,,
82208777,82230126,ARIEL LAU PWD 2KGX12 MB D+ PC,359,12,4.90E+12,Laundry,Ariel,Household,/appcontent/images/brand/brand-ariel.jpg,/appcontent/images/brand/brand-ariel.jpg,11,/appcontent/images/category/households.png,/appcontent/images/category/Households/cleaning.png,14.5,Prestige Pursuits,3-4 days,,
0,82236451,ARIEL LAUP WD 1KGX12 MATIC D+,235,12,4.90E+12,Laundry,Ariel,Household,/appcontent/images/brand/brand-ariel.jpg,/appcontent/images/brand/brand-ariel.jpg,11,/appcontent/images/category/households.png,/appcontent/images/category/Households/cleaning.png,14.5,Prestige Pursuits,3-4 days,,
