Item ID,Matcode,Material Description,MRP,CaseCount,EAN,SubCategory,Brand,Category,10 lacs price,>10 lacs price,,,,,,,,,,,,,,,,
82164782,82226690,DU CB AL AA 6BCD 175 INR 6X12X6 5+1,175,72,5000394116658,Battery,Duracell,Electronics,143.5,122.5,,,,,,,,,,,,,,,,
82164783,82226919,DU CB AL AAA 6BCD 175INR 6X12X6 5+1,175,72,5000394116955,Battery,Duracell,Electronics,143.5,122.5,,,,,,,,,,,,,,,,
82147757,82229980,DU UL AL AA 4BCD RF 170 INR 4X20X6,170,120,5000394118942,Battery,Duracell,Electronics,139.4,119,,,,,,,,,,,,,,,,
82147757,82216271,DU UL AL AA 4BCD SCA RF 160 INR 4X20X6,160,120,5000394109414,Battery,Duracell,Electronics,131.2,112,,,,,,,,,,,,,,,,
82201621,81558284,DU CB AL AAA 4BCD 130 INR 4X12X4,130,48,5000394121294,Battery,Duracell,Electronics,106.6,91,,,,,,,,,,,,,,,,
75066503,81558281,DU CB AL AA 4BCD 130 INR 4X20X6,130,120,5000394121201,Battery,Duracell,Electronics,106.6,91,,,,,,,,,,,,,,,,
82201621,82226688,DU CB AL AAA 4BCD 125 INR 4X12X4,125,48,5000394116597,Battery,Duracell,Electronics,102.5,87.5,,,,,,,,,,,,,,,,
75066503,82226693,DU CB AL AA 4BCD 125 INR 4X20X6,125,120,5000394116719,Battery,Duracell,Electronics,102.5,87.5,,,,,,,,,,,,,,,,
82201621,82207499,DU CB AL AAA 4BCD SCA 105 INR 4X12X4,105,48,5000394095311,Battery,Duracell,Electronics,86.1,73.5,,,,,,,,,,,,,,,,
82147756,81558285,DU UL AL AA 2BCD RF 95 INR 2X20X12,95,240,5000394121324,Battery,Duracell,Electronics,77.9,66.5,,,,,,,,,,,,,,,,
82147869,81558287,DU UL AL AAA 2BCD 95 INR 2X20X18,95,360,5000394121386,Battery,Duracell,Electronics,77.9,66.5,,,,,,,,,,,,,,,,
82143211,82207581,DU CB AL AA 3BCD BKC 90 INR 3X24X6,90,144,5000394095441,Battery,Duracell,Electronics,73.8,63,,,,,,,,,,,,,,,,
82143209,82207497,DU CB AL AAA 3BCD BKC 90 INR 3X24X6,90,144,5000394095298,Battery,Duracell,Electronics,73.8,63,,,,,,,,,,,,,,,,
82147756,82229979,DU UL AL AA 2BCD RF 90 INR 2X20X12,90,240,5000394118928,Battery,Duracell,Electronics,73.8,63,,,,,,,,,,,,,,,,
82147869,82229982,DU UL AL AAA 2BCD 90 INR 2X20X18,90,360,5000394118966,Battery,Duracell,Electronics,73.8,63,,,,,,,,,,,,,,,,
82147756,82216269,DU UL AL AA 2BCD SCA RF 85 INR 2X20X12,85,240,5000394109407,Battery,Duracell,Electronics,69.7,59.5,,,,,,,,,,,,,,,,
82143211,82201562,DU CB AL AA 3BCD BKC 84 INR 3X24X6,84,144,5000394081154,Battery,Duracell,Electronics,68.88,58.8,,,,,,,,,,,,,,,,
82147869,82207500,DU UL AL AAA 2BCD BKC 75 INR 2X20X18,75,360,5000394095328,Battery,Duracell,Electronics,61.5,52.5,,,,,,,,,,,,,,,,
82203096,81558280,DU CB AL AA 2BCD 70 INR 2X20X12,70,240,5000394121171,Battery,Duracell,Electronics,57.4,49,,,,,,,,,,,,,,,,
82203097,81558283,DU CB AL AAA 2BCD 70 INR 2X20X18,70,360,5000394121263,Battery,Duracell,Electronics,57.4,49,,,,,,,,,,,,,,,,
82203096,82226692,DU CB AL AA 2BCD 65 INR 2X20X12,65,240,5000394116689,Battery,Duracell,Electronics,53.3,45.5,,,,,,,,,,,,,,,,
82203097,82226687,DU CB AL AAA 2BCD 65 INR 2X20X18,65,360,5000394116566,Battery,Duracell,Electronics,53.3,45.5,,,,,,,,,,,,,,,,
82203097,82216265,DU CB AL AAA 2SBX20X18 60 INR,60,360,5000394109360,Battery,Duracell,Electronics,49.2,42,,,,,,,,,,,,,,,,
82147756,82187614,DU UL AL AA 2BCD SCA RF 55 INR 2X20X12,55,240,5000394055476,Battery,Duracell,Electronics,45.1,38.5,,,,,,,,,,,,,,,,
82203097,82207580,DU CB AL AAA 2SBX20X18 55 INR,55,360,5000394095427,Battery,Duracell,Electronics,45.1,38.5,,,,,,,,,,,,,,,,
82184034,82183859,DU CB AL AA 3BCD BKC 51 INR 3X24X6,51,144,5000394049437,Battery,Duracell,Electronics,41.82,35.7,,,,,,,,,,,,,,,,
82147869,82147193,DU UL AL AAA 2BCD BKC MLNGS 50INR 2X20X1,50,360,5000394024922,Battery,Duracell,Electronics,41,35,,,,,,,,,,,,,,,,
75066505,82187599,DU CB AL AA 2BCD BKC 46 INR 2X20X12,46,240,5000394055131,Battery,Duracell,Electronics,37.72,32.2,,,,,,,,,,,,,,,,
82233432,82234247,FUS PROGLIDE MNL CRT 8 RF 1690INR 8X10X6,1690,60,4902430665452,B&R,Gillette,Personal Care,1436.5,1318.2,,,,,,,,,,,,,,,,
82174798,82221489,FUSION POWER CRT 8 1525INR 8X12X20,1525,240,4902430629416,B&R,Gillette,Personal Care,1296.25,1189.5,,,,,,,,,,,,,,,,
82238666,82236498,FUSPGPW STYLR RZR 1500INR 1CSX16IT*1X4X4,1500,16,7702018269853,B&R,Gillette,Personal Care,1275,1170,,,,,,,,,,,,,,,,
82238666,82236499,FUSPGPW STYLR RZR 1500INR 1CSX16IT*1X4X4,1500,16,7702018269853,B&R,Gillette,Personal Care,1275,1170,,,,,,,,,,,,,,,,
82227147,82225639,FS CRT 8+HY GEL 75ML 1400INR-9X6X4,1400,24,4902430642361,B&R,Gillette,Personal Care,1190,1092,,,,,,,,,,,,,,,,
